Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IDA blend,IDB,1563432.2,1602883.74,1548907.36,1676224.1,1707241.49,1809771.7,1713525.15,1787407.51,1806075.72,1842045.95,1918141.79,1962293.79,2053929.07,2169563.66,2076564.54,2195950.38,2435460.81,2365836.98,2230199.29,2111764.12,2110063.06
Indonesia,IDN,4335940,4404801,4698733,4739638,4703117,4798414,5042176,5002765,5115756,5390461,5759674,5864409.35,6142410.11,6528638.33,6735639.15,6581114.83,6946132.04,7155854.27,7192713.78,6941042.32,7206879.2
IDA only,IDX,6383826.61,6487233.06,7047835.67,7648552.28,7936921.53,8027107.15,8289015.89,8179416.34,8660885.3,8844110.34,9027574.97,9310377.47,9358335.7,9566144.52,9618243.6,10111905.51,10867715.41,11096519.78,11178109.37,10927166.05,10957436.63
Isle of Man,IMN,3112,3127,2984,2627,2764,2579,3812,2770,3555,4814,6844,6172,5745,3755,7781,7040,6759,4431,2939,2742.95,3041.34
India,IND,3817092,3783853,3757899,3426509,3725361.99,3877337,3890293,4128727,4094756,4715816,4336132,4895142.41,4665438.43,4999493.43,4862038.51,5196946.01,5550953.01,5336183,5477100.01,4658197.01,5024904.99
Ireland,IRL,392528,318720,301218,310570,297181,241277,244368,234819,298584,348441,243454.95,305426.85,275949.83,306423.74,264370.53,259855.36,276329.84,251240.96,238443.64,208502.06,234158.85
"Iran, Islamic Rep.",IRN,351142,324838,350123,369990,410567,445879,402767,407842,420372,443650,487633,537271.01,553776.02,620426.99,631122,689721.99,782479.99,828393.63,824550.01,790900.05,779465.73
Iraq,IRQ,33300,26000,17200,12936,26008,59075,53032,34580,28245,19348,31541,51077,56853,59000,27296,31300,35220,36936,40069,34770.17,43679.69
Iceland,ISL,2003941,2149508,2008658,1755172,1685753,1348043,1421057,1306593,1164432,1081655,1164914,1466751,1380229,1095508,1336425,1085502,1198222,1279794,1060882.97,1035413.76,1056427.31
Israel,ISR,5024,5043,4055,3340,4151,3820,3435,2708,2712,2612,2575,3224,1983,2042,2097,1588,2054,2048,2046,2016,2035
Italy,ITA,312408.7,271902.1,297700.8,288939.8,298584.1,317852.7,289479.45,237619.5,254520,234960.5,217829.71,202430.39,177915.51,183451.41,198768.71,197090.86,197389.39,206936.7,187497.5,141207.22,150496.07
Jamaica,JAM,14319,14892,12482,13471,13096,17703,16398,13055,16154,15390,17998,15383,18349,15204,17025,17307,19267,15346,13475,12874.92,10956
Jordan,JOR,520,526,481,494,510,497,506,500,569,486,500,606.53,542.24,646.15,604.33,601.14,634.45,664.86,678.73,583.95,665
Japan,JPN,4835571.5,4501728.24,4800065.75,4451151.71,4440914.2,4451205.34,4430071.55,4441302.61,4230700.65,4188376.3,3873951.41,3756439.79,3737616.38,3735077.95,3500370.52,3286217.27,3273639.5,3374475.35,3253008.47,3242236.64,3150889.94
Kazakhstan,KAZ,22960,24668,25195,33306,37621,30045,34201,51267,38170,46827,34896,36939,34692,37137,40461,41334.54,41319.99,37283.15,45644.6,42597.38,41457.32
Kenya,KEN,164760.32,145164.33,120532,127297.07,147920,159266,132282,136109,134157,140607,181450,158743,163133,169169.1,165152,141482,122109.58,125477.51,125688.81,124929.44,130902.53
Cambodia,KHM,427000.01,406150.01,363500,305800,381000,482500,458500,431000,465000,490000.01,536000,607999.99,638000,625255,608405.01,629950,648820,656105.01,601100.01,535900,508049.99
Kiribati,KIR,33280,36694,33712,31061,30562,25661,34170,27299,39426,43116,62907.02,77531.66,81441.66,116964,145976,174303,162559,197934.53,238692.39,212750.79,191165.52
St. Kitts and Nevis,KNA,1039,949,873,1111,1516,1179,1275,1342,2064,21754,31071,21887,17717,66142,100398.52,65768.93,84958.17,1044.37,652,646.54,369.42
"Korea, Rep.",KOR,2008995,1704448,1661787,1589746,1661761,1772459,1888362,1970882,1871904,1735000,1757193.59,1673719.63,1605307.22,1751932.5,1658005.13,1371347.39,1359547.23,1402993.76,1424965.84,1376149.23,1314889.31
Kuwait,KWT,5846,5360,4060,5061,4895,5635,4373,3979,4708,6373,4038,3686,4307,3840,3859,5187,3978,2871,3016,3095,3525
Latin America & Caribbean (excluding high income),LAC,12229881.5,12843769.88,10038695.05,13512075.43,13438629.51,11473470.3,11683014.49,12133748.66,11524505.83,8689047,12643734.9,9061391.41,10123274.49,7969054.3,8999563.98,8048971.44,8585137.2,11689775.57,9236265.63,9987017.88,11331570.09
Lao PDR,LAO,31000,33440,29800,29800,26560,26925,28410,29200,30800,30900,34000,34106,38946,60237,62635,57400,59069,60508,64701,70001,71000
Lebanon,LBN,3670,3970,3898,3866,3798,3811,3700,3600,3500,3400,3300,3200,3100,2998,3638,4291,3617,2796,2619.8,2455,2580
Liberia,LBR,10496,11042,10464,13725,12147,8894,14488,7890,10700,11700,13421.05,14028.69,15090.98,14432.19,14009.22,13718.1,11974.1,14122.29,16134.03,31661.68,25169.14
Libya,LBY,47296,44013,41834,39902,37395,34652,31926,47650,52117.3,50006,30004,34654,35504,24633,25730,29919.39,31873.99,32144.06,32335,31803.55,31951.33
St. Lucia,LCA,2160,1895,1668,1706,1590,1647,1732,1895,2066,1964,1811,1943.51,1991.64,1981.44,2030.47,2117.64,2091.51,2019.92,1845.1,1423.83,1414.47
Latin America & Caribbean,LCN,17161064,18285122.58,14862990.05,19789403.43,19022276.56,16696347.3,16537600.69,16757186.66,16029440.36,12277604.73,16666318.56,12627032.51,12968585.14,11126975.01,11742005.09,10499289.6,11522219.62,14562032.73,12155578.3,12676654.36,14245391.92
Least developed countries: UN classification,LDC,5510272.61,5648206.06,6022594.47,6517492.85,6872677.64,6943961.16,7360658.68,7307018.2,7792862.6,7931740.66,8128892.62,8394659.84,8512693.69,8672539.43,8729960.41,9241913.62,9998975.48,10065441.37,10093352.45,9848633.61,10027043.79
Low income,LIC,1993698.5,1965635.5,2202966.5,2330843.5,2345215.5,2269738.5,2392266.5,2487188.5,2631044,2664878.99,2787545.89,2831166.41,2954985.88,2990870.54,2929248.68,3056802.77,3389091.31,3361266.65,3634337.38,3505110.05,3613669.86
Sri Lanka,LKA,267550,272602,319759.2,332854.4,216663,278603,304903,323888,336942,390187,421764.7,450850.61,461229.6,493496.68,469124.25,488290.38,476407.47,479608.53,471989.4,387042.8,380278.23
Lower middle income,LMC,20720045.3,20777425.27,21476549.45,21776568.8,22559809.12,23056635.78,23736515.36,24063958.23,24712966.93,25804961.67,25661547.62,26988728.27,27327936.38,28615654.05,28817066.41,29750392.7,31403746.56,31450581.82,31503890.73,30130004.09,30874320.56
Low & middle income,LMY,58951063.5,59495566.45,57820591.4,61739111.89,62454213.03,60994396.68,61855336.57,62067608.59,62421772.66,61095783.58,65342470.31,63571208.43,65087143.57,64768639.29,66436884.03,66211770.63,68191694.21,70977662.28,68094494.36,66598250.3,68269389.45
Late-demographic dividend,LTE,34055197.19,34322847.76,33680498.82,35014420.93,34526557.36,33954347.24,33656414.99,33091471.45,33637820.32,33047109.74,33767145.75,34197229.22,33918729.13,34753343.13,34856986.99,34514212.16,35014113.35,34897730.47,34166446.52,33258289.68,33342572.77
Lithuania,LTU,150831,150146,157205,161988,139785,154548,187513,182760,172692,149851,138557,66970,90871,150067,85144,106945,89770,75019.25,102219.91,90991.31,96152.49
Latvia,LVA,128176,117553,114543,125391,150618,140389,155276,157934,163213,164819,154310,94404,116029,119536,81340,114278,69411.6,73144,71385,64989,61658.11
"Macao SAR, China",MAC,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
St. Martin (French part),MAF,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Morocco,MAR,1106101.9,969539.6,929778.6,931280.7,1039210,891750.6,891845.5,1006167.7,1175436.5,1143652.11,974039.99,1177472.38,1275508.7,1375097.05,1384017.61,1472314.42,1402130.8,1386548,1475913.65,1397532.69,1432199.14
Madagascar,MDG,124415,130125,130670,135916,133648,134693,148578,121264,132103,129638,127070,118075.26,104597.02,95821.26,114751.4,142332.93,161606.38,129588.66,113782.26,111152.84,113937.24
Maldives,MDV,127636,163770,156132,158528,186274,185811,144511,133839,117061,122804,120835,120000,130205.27,128650.83,127309.76,129421.05,142349.27,150992.58,135062.86,148565.28,144993.2
Middle East & North Africa,MEA,2684821.99,2544543.97,2568550.72,2590374.57,2693411.61,2666575.94,2554420.82,2587138.88,2822146.61,2743914.91,2590425.44,2982294.13,3107275.95,3248212.92,3243475.03,3393190.09,3498036.42,3738177.67,3893173.36,3959093.73,4154189.17
Mexico,MEX,1445866.5,1481136.88,1386469.05,1289156.43,1325083.51,1368538.3,1475194.49,1586975.66,1619392.83,1528282,1571660.63,1581200.21,1626418.14,1529367.57,1479562.95,1524467.29,1637380.51,1699290.21,1581126.75,1511892.56,1628652.14
Marshall Islands,MHL,36579,39857,38882,47884,57566,43957,61212,35026,46382.4,59800.53,93318.45,77090,80643,78727,89718,65224,70313,78363.2,101650.81,88202.61,95932.72
Middle income,MIC,57269663,57769996.95,55879844.9,59609112.39,60294166.53,58888346.18,59724468.07,59918585.09,60124273.66,58761828.58,62894007.98,61041409.44,62450912.9,62072118.59,63804980.7,63538736.24,65267394,68025126.79,64901431.73,63480129.18,65092370.26
